
ID: 1 | Tempo: 67 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 2 | Tempo: 91 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 3 | Tempo: 47 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 4 | Tempo: 21 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 5 | Tempo: 16 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 6 | Tempo: 61 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 7 | Tempo: 25 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 8 | Tempo: 64 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 9 | Tempo: 30 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 10 | Tempo: 35 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 11 | Tempo: 72 segundos | Fase 1: Sim | Fase 2: Sim | Fase 3: No
ID: 12 | Tempo: 44 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 13 | Tempo: 74 segundos | Fase 1: Sim | Fase 2: Sim | Fase 3: No
ID: 14 | Tempo: 35 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 15 | Tempo: 94 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 16 | Tempo: 16 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 17 | Tempo: 106 segundos | Fase 1: Sim | Fase 2: Sim | Fase 3: No
ID: 18 | Tempo: 26 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 19 | Tempo: 25 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 20 | Tempo: 45 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 21 | Tempo: 2 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 22 | Tempo: 21 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 23 | Tempo: 17 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 24 | Tempo: 52 segundos | Fase 1: No | Fase 2: No | Fase 3: No
ID: 25 | Tempo: 58 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 26 | Tempo: 165 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 27 | Tempo: 46 segundos | Fase 1: Sim | Fase 2: No | Fase 3: No
ID: 28 | Tempo: 116 segundos | Fase 1: Sim | Fase 2: Sim | Fase 3: No
